"symbol";"openv";"high";"low";"ltp";"changes";"percent_change";"volume";"turnover";"week_high_52";"week_low_52";"annual_pct_change";"monthly_pct_change";"id"
"ADANIPORTS";750.0;766.0;713.25;715.0;-47.45;-6.22;72.2;532.63;901.0;384.4;79.22;-4.65;1
"BHARTIARTL";763.0;763.0;733.1;735.85;-29.3;-3.83;111.43;830.06;781.8;454.11;58.55;5.7;3
"BPCL";397.15;397.2;375.0;377.4;-22.7;-5.67;100.23;383.54;503.0;357.0;-1.22;-12.45;4
"COALINDIA";157.75;159.4;155.35;155.9;-2.65;-1.67;118.3;185.5;203.8;123.25;25.78;-10.94;5
"HDFCLIFE";685.0;689.0;667.1;669.75;-19.05;-2.77;22.37;151.4;775.65;617.4;0.7;-2.94;6
"HINDALCO";441.8;442.7;414.7;417.7;-29.35;-6.57;148.26;631.93;551.85;220.35;86.93;-14.06;7
"IOC";125.6;125.6;120.5;121.15;-4.5;-3.58;77.25;94.57;141.5;84.0;41.28;-7.87;8
"ITC";228.9;230.05;223.1;223.6;-7.7;-3.33;270.27;610.54;265.3;192.4;15.35;-5.53;9
"JSWSTEEL";668.25;672.55;624.25;630.0;-50.9;-7.48;89.22;574.61;776.5;336.0;86.25;-9.27;10
"M&M";885.0;885.0;843.0;855.05;-36.15;-4.06;39.34;338.08;979.0;660.25;18.77;-4.42;11
"NTPC";133.2;134.05;128.0;128.65;-6.55;-4.84;133.24;173.94;152.1;88.15;36.93;-10.16;12
"ONGC";152.25;152.25;146.25;147.75;-7.35;-4.74;231.36;344.33;172.75;77.05;82.86;-9.41;13
"POWERGRID";204.05;204.95;200.8;202.5;-1.75;-0.86;96.11;195.09;209.95;136.88;3.69;6.36;14
"SUNPHARMA";775.0;798.9;762.0;767.25;-15.65;-2.0;54.33;424.05;851.0;502.3;51.57;-5.69;15
"UPL";726.0;726.0;701.0;703.5;-23.8;-3.27;24.82;176.35;864.7;414.15;68.06;-1.37;17
"WIPRO";632.0;634.4;619.65;621.3;-15.4;-2.42;41.39;259.37;739.85;346.25;77.51;-7.01;18
"AXINK";240.0;290.0;220.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23
"""RANDMSM""";59.0;65.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25
